keywords,year,_objectid,_accessionnum,_title,_displaydate,_medium,_dimensions,_inscription,_markings,_artist,_provenance,_creditline,_classification,_watermarks,_imagelink,_uuid,id
#N/A,2022,224395,2022.97.1,Mendicant Family of a Fallen Hero (Scena simbolica--Gruppo di famiglia dell'eroe caduto con elmetto),c. 1920,"etching on wove paper [proof in brown ink before reduction of the plate], printed on verso of reproductive lithograph of a harbor scene",sheet (cut to plate): 39.37 × 59.37 cm (15 1/2 × 23 3/8 in.),"upper left in image, in plate: COMITATO ASSISTENZA CIVILE / LVINO [surrounding coat of arms containing an eagle, a castle, and a swan]; lower right in plate: E. Bazzaro; lower right verso in image, in stone: A. Formis; lower left verso in stone: A SESTO CALENDE / 25; lower center verso in stone: IMPRESSIONI DAL VERO / DI / Achile Formis; lower right verso in stone: G. RICORDI & C._EDITORI / MILANO",,Ernesto Bazzaro,"(Il Bulino Antiche Stampee di Matteo Crespi, Milan); purchased 2022 by NGA.",Ailsa Mellon Bruce Fund,Print,,https://api.nga.gov/iiif/8e2eea36-0089-4c41-b500-2944001a1d0c/full/full/0/default.jpg,8e2eea36-0089-4c41-b500-2944001a1d0c,8e2eea36-0089-4c41-b500-2944001a1d0c
#N/A,2022,224888,2022.96.1,MASK,2020,screenprint on surgical face mask,overall: 10 × 17 cm (3 15/16 × 6 11/16 in.),None.,None.,Ai Weiwei,"The artist; Ebay.com to benefit Human Rights Watch, Refugees International and Médecins Sans Frontières, 2020; purchased by Kim Schenck, Washington, 2020; gift to NGA, 2022.",Gift of Kimberly Schenck,Print,None.,https://api.nga.gov/iiif/eaf264d3-612d-467d-b2aa-ae0abdbd18de/full/full/0/default.jpg,eaf264d3-612d-467d-b2aa-ae0abdbd18de,eaf264d3-612d-467d-b2aa-ae0abdbd18de
Street,2022,224550,2022.95.4,"Bennetts Corner (Giro Corner), the Erimus Club and Commercial Pub, South Bank, Middlesbrough","1982, printed 2008",gelatin silver print,"image: 37.4 × 47 cm (14 3/4 × 18 1/2 in.)
sheet: 47.7 × 57.4 cm (18 3/4 × 22 5/8 in.)","on verso, signed by artist, lower right in graphite: Graham Smith; by artist, upper center: Harry, landlord of the commercial, died before his time the year this photograph was taken. His sudden / death and the hard job of managing a beer pub, looking after the needs of pub dependant [sic], were not unrelated. / Although there are those special moments being the boss of a pub, there is always a price to pay. / Graham Smith 10.12.2021; center: Photography, especially street photography, can reveal qualities unknown at the time of making a picture. / Some years after making this picture, I was told by Ted Cocker, the man who took over from Harry as / landlord of the commercial, that the man walking across the road was his father. Those who knew / my father would comment on how Ted Cocker’s father looked like my father. And I didn’t know / at the time of making this picture that my father, Albert Smith, and Ted Cocker were drinking friends / and had also worked together in the steelworks. And again, some years after making this picture, my / father told me that the woman walking around the corner was his neighbor who, when needed, cared / for him towards the end of his life.; center right perpendicular: PRINT MADE BY GRAHAM SMITH 2008; lower left: BENNETTS CORNER (GIRO CORNER) THE ERIMUS CLUB AND THE COMMERCIAL PUB / SOUTH BANK, MIDDLESBROUGH 1982",,Graham Smith,"(Augusta Edwards Fine Art, London); NGA purchase, 2022.",Alfred H. Moses and Fern M. Schad Fund,Photograph,,https://api.nga.gov/iiif/0b4fea54-eb75-4378-8a83-1135b95bdbfa/full/full/0/default.jpg,0b4fea54-eb75-4378-8a83-1135b95bdbfa,0b4fea54-eb75-4378-8a83-1135b95bdbfa
England,2022,224549,2022.95.3,"Tarzan Swing off the King Edward Railway Bridge, River Tyne, Gateshead Side","1977, printed 2008",gelatin silver print,"image: 39.3 × 48.9 cm (15 1/2 × 19 1/4 in.)
sheet: 47.3 × 57.4 cm (18 5/8 × 22 5/8 in.)","on verso, signed by artist, lower right in graphite: Graham Smith; by artist, lower left: TARZAN SWING OFF THE KING EDWARD RAILWAY BRIDGE / RIVER TYNE, GATESHEAD SIDE 1977",,Graham Smith,"(Augusta Edwards Fine Art, London); NGA purchase, 2022.",Alfred H. Moses and Fern M. Schad Fund,Photograph,,https://api.nga.gov/iiif/dc3a8f5e-b541-42ac-b0e3-d456630f3730/full/full/0/default.jpg,dc3a8f5e-b541-42ac-b0e3-d456630f3730,dc3a8f5e-b541-42ac-b0e3-d456630f3730
Child,2022,224548,2022.95.2,"Clay Lane Furnaces, South Bank, Middlesbrough",1981,gelatin silver print,"image: 26.3 × 33.6 cm (10 3/8 × 13 1/4 in.)
sheet: 30.2 × 40.3 cm (11 7/8 × 15 7/8 in.)","on verso, signed by artist, lower right in graphite: Graham Smith; by artist, across verso: I was born into a family whose work, class and culture on the Smith side was rooted deep in the / heavy industry of iron making. My father, Albert Smith, spoke with pride of his forefathers, / iron stone miners from Rosedale in Yorkshire, a small settlement in the Cleveland hills. Three / generations of sons born from the Rosedale family followed their fathers into the ironworks at / Cargo Fleet and South Bank. When I was a young boy, the inevitability of life down the works / troubled me and despite expectation, the mould had to be broken. Middlesbrough was dominated / by heavy industry, it was a hard mould to break. / Towards the end of his working life, my father was part of a gang of men repairing Number Two / furnace at Clay Lane. He was working for a contractor who regarded safety as something that / got in the way of men doing their job. Working high on the outside of a furnace from scaffold / only two boards deep was hard for a big man with a beer belly, a man past his prime and / suffering a hangover at the start of most shifts. On dark cold mornings, or wet and windy days, / my father dreaded working high up on the outside of the furnace. Some days his hands were / too cold to hold a large spanner or heavy hammer, but he was a born grafter and worked / every double shift offered to him until the contract was finished. / Number Two furnace, repaired and relined with fire brick, was never commissioned. It stood / idle until all three furnaces were eventually demolished, ending more than one hundred and thirty / years of iron making in South Bank. / Graham Smith 11.12.2021; lower left: CLAY LANE FURNACES, SOUTH BANK, MIDDLESBROUGH 1981; bottom center: PRINT MADE BY GRAHAM SMITH 1984",,Graham Smith,"(Augusta Edwards Fine Art, London); NGA purchase, 2022.",Alfred H. Moses and Fern M. Schad Fund,Photograph,,https://api.nga.gov/iiif/1e7eb7f6-9e99-4ce6-8bab-c43123176390/full/full/0/default.jpg,1e7eb7f6-9e99-4ce6-8bab-c43123176390,1e7eb7f6-9e99-4ce6-8bab-c43123176390
England,2022,224547,2022.95.1,"Blackhill, Consett, County Durham",1976,gelatin silver print,"image: 32.7 × 40.6 cm (12 7/8 × 16 in.)
sheet: 38.1 × 46.3 cm (15 × 18 1/4 in.)","on verso, signed by artist, lower right in graphite: Graham Smith; by artist, across top: Night and day, every week of every year for more than a century, a landscape / of chimneys bordering the towns of Consett and Blackhill, released their toxic mixture of / sulphureous gas and iron ore dust, touching everyone shadowed under a shifting cloud / of dark smoke. Other than never ending noise, families living closer to the steelworks / chimneys, were not affected as much, except on cold damp days when the air was still. / On such dismal days, every few hours, another layer of dark red smoke, heavy with iron, / suffocated the streets, drifting nowhere until the weather changed. Conditions of industrial / life were tolerated. Most local people depended on what was known in County Durham as, / The Company. No smoke, no jobs; that awful fear of no future. / Graham Smith; center right perpendicular: Other than several small prints / this is the last vintage print / I have of this image. Graham Smith 2011; lower left: Blackkhill, Consett / County Durham 1976; lower center: Print 1981",,Graham Smith,"(Augusta Edwards Fine Art, London); NGA purchase, 2022.",Alfred H. Moses and Fern M. Schad Fund,Photograph,,https://api.nga.gov/iiif/e0981952-77d5-4fd6-9924-6a834bf90a4e/full/full/0/default.jpg,e0981952-77d5-4fd6-9924-6a834bf90a4e,e0981952-77d5-4fd6-9924-6a834bf90a4e
Work,2022,224553,2022.94.3,The Drop Forge,c. 1925,gelatin silver print,"image/sheet: 33.7 × 22.5 cm (13 1/4 × 8 7/8 in.)
mount (1): 34 × 22.9 cm (13 3/8 × 9 in.)
mount (2): 50.8 × 40.6 cm (20 × 16 in.)","signed by artist, lower right below image in graphite: H.K. Shigeta; lower left: Drop Forge; bottom right Shigeta/Wright label printed in black ink on applied paper; on verso, center printed in black ink on orange applied label: THIS PRINT / IS THE PROPERTY OF THE / Museum of Science and Industry / Founded by Julius Rosenwald / Chicago, Illinois / Donor Shigeta-Wright-Chicago / Date Aug. 1935 Museum Access. No. 35.91.25; lower right Museum of Science and Industry stamp in black ink; by unknown hand, lower right in graphite underlined: 35.92.25; bottom right: HSH06 01",,Harry Kinzi Shigeta,"Harry Kinzi Shigeta; Museum of Science and Industry, Chicago, August 1935; (Robert Koch Gallery, San Francisco); (Lawrence Miller Gallery, New York), March 2022; NGA purchase, 2022.",Scott Nathan and Laura DeBonis Fund,Photograph,,https://api.nga.gov/iiif/688c68cf-9e79-409c-bd55-2625fbaf6152/full/full/0/default.jpg,688c68cf-9e79-409c-bd55-2625fbaf6152,688c68cf-9e79-409c-bd55-2625fbaf6152
Wire,2022,224552,2022.94.2,The Wire #4,c. 1925,gelatin silver print,"image/sheet: 25.7 × 33.6 cm (10 1/8 × 13 1/4 in.)
mount: 54.9 × 45.7 cm (21 5/8 × 18 in.)","on verso of mount, by artist, top left in black ink: The Wire #4; on recto of mount, bottom left stamped in blue ink: 231; on verso of mount, upper left artist stamp in black ink; by unknown hand, upper left in orange crayon: 03; upper left in brown crayon circled: A; center 1928 Pittsburgh Salon of Photographic Art exhibition label; by unknown hand, center right printing notes in graphite; bottom center: 18 x 22; bottom right 231",,Kumezu Ota,"(Keith De Lellis Gallery, New York); (Lawrence Miller Gallery, New York); NGA purchase, 2022.",Scott Nathan and Laura DeBonis Fund,Photograph,,https://api.nga.gov/iiif/e2d0f411-5c82-4b14-b68c-3fb51d1f24b8/full/full/0/default.jpg,e2d0f411-5c82-4b14-b68c-3fb51d1f24b8,e2d0f411-5c82-4b14-b68c-3fb51d1f24b8
Nature,2022,224551,2022.94.1,Water Lily #3,c. 1930,gelatin silver print,"image/sheet: 24.1 × 30.8 cm (9 1/2 × 12 1/8 in.)
mount (1): 25.1 × 31.7 cm (9 7/8 × 12 1/2 in.)
mount (2): 55.9 × 40.9 cm (22 × 16 1/8 in.)","signed by artist, lower right on mount in graphite: Riso Itano; on verso of mount, signed by artist, lower center in black ink: #3 ""Water Lily"" / Riso Itano / 357 E. 1st. St. / Los Angeles / Calif.; by unknown hand, top right in blue crayon: A; center 1930 Pittsburgh Salon of Photographic Art exhibition label; by unknown hand, bottom right in graphite: 16 x 22 I [illegible] / #125 [underlined]",,Riso Itano,"(Keith De Lellis, Gallery, New York); (Lawrence Miller Gallery, New York), March 2022; NGA purchase, 2022.",Linda Hackett and Russell Munson Fund,Photograph,,https://api.nga.gov/iiif/a2f1902d-3c43-41f9-b415-0a706ea4375b/full/full/0/default.jpg,a2f1902d-3c43-41f9-b415-0a706ea4375b,a2f1902d-3c43-41f9-b415-0a706ea4375b
#N/A,2022,224403,2022.93.6,Stream in the Woods,1893/1894,etching with monotype wiping on wove paper,"plate: 14.9 × 10.5 cm (5 7/8 × 4 1/8 in.)
sheet: 26.7 × 22.3 cm (10 1/2 × 8 3/4 in.)",lower right in brown ink: Vittore Grubicy,,Vittore Grubicy,"Ugo Ojetti (1871–1946), Fiesole; (Libreria Prandi, Reggio Emilia); (Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased 2022 by NGA.",Gift of Funds from the Estate of Lila Oliver Asher,Print,,https://api.nga.gov/iiif/5e3af6e2-1137-4ae1-af51-3f77b4875af6/full/full/0/default.jpg,5e3af6e2-1137-4ae1-af51-3f77b4875af6,5e3af6e2-1137-4ae1-af51-3f77b4875af6
#N/A,2022,224402,2022.93.5,"A May Evening at Lierna, 2",1893/1894,etching with monotype wiping on wove paper,"plate: 12 × 20 cm (4 3/4 × 7 7/8 in.)
sheet: 20.9 × 28.2 cm (8 1/4 × 11 1/8 in.)",lower right in graphite: VGrubicy,,Vittore Grubicy,"Ugo Ojetti (1871–1946), Fiesole; (Libreria Prandi, Reggio Emilia); (Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased 2022 by NGA.",Gift of Funds from the Estate of Lila Oliver Asher,Print,,https://api.nga.gov/iiif/f2ed22ac-39e3-4a16-b946-6a56c2c6760f/full/full/0/default.jpg,f2ed22ac-39e3-4a16-b946-6a56c2c6760f,f2ed22ac-39e3-4a16-b946-6a56c2c6760f
#N/A,2022,224401,2022.93.4,Coastal View (A Foreboding of Sadness),1893/1894,"etching with monotype wiping, printed in sepia on wove paper","plate: 15.3 × 31.1 cm (6 × 12 1/4 in.)
sheet: 25.3 × 39.9 cm (9 15/16 × 15 11/16 in.)",,,Vittore Grubicy,"Ugo Ojetti (1871–1946), Fiesole; (Libreria Prandi, Reggio Emilia); (Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased 2022 by NGA.",Gift of Funds from the Estate of Lila Oliver Asher,Print,,https://api.nga.gov/iiif/671c8f55-b131-4558-8969-dfe33033dac7/full/full/0/default.jpg,671c8f55-b131-4558-8969-dfe33033dac7,671c8f55-b131-4558-8969-dfe33033dac7
#N/A,2022,224400,2022.93.3,Countryside,1893/1894,etching with monotype wiping on wove paper,"plate: 17 × 13.7 cm (6 11/16 × 5 3/8 in.)
sheet: 27.8 × 22.3 cm (10 15/16 × 8 3/4 in.)",lower right in graphite: Vittore Grubicy,,Vittore Grubicy,"Ugo Ojetti (1871–1946), Fiesole; (Libreria Prandi, Reggio Emilia); (Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased 2022 by NGA.",Gift of Funds from the Estate of Lila Oliver Asher,Print,,https://api.nga.gov/iiif/a910fac2-d801-4637-84cd-88f9f0822f69/full/full/0/default.jpg,a910fac2-d801-4637-84cd-88f9f0822f69,a910fac2-d801-4637-84cd-88f9f0822f69
#N/A,2022,224399,2022.93.2,Winter Evening,1893/1894,"etching with monotype wiping, printed in sepia on heavy wove paper","plate: 14.9 × 24.7 cm (5 7/8 × 9 3/4 in.)
sheet: 26 × 35.2 cm (10 1/4 × 13 7/8 in.)","lower right below image in graphite: Lastra andata distrutta; lower right in graphite: all'amico Ojetti / VGrubicy; by later hand, lower right verso in graphite: Sera d'inverno 1893 / Mezzetti(?) 325 [not deciphered]; by later hand, center verso in graphite: [not deciphered]","Ugo Ojetti (1871–1946) [not in Lugt], Fiesole; (Libreria Prandi, Reggio Emilia)",Vittore Grubicy,"Ugo Ojetti (1871–1946) [not in Lugt], Fiesole; (Libreria Prandi, Reggio Emilia); (Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased 2022 by NGA.",Gift of Funds from the Estate of Lila Oliver Asher,Print,,https://api.nga.gov/iiif/c5c170e5-ab16-4f0a-89e9-847a31928423/full/full/0/default.jpg,c5c170e5-ab16-4f0a-89e9-847a31928423,c5c170e5-ab16-4f0a-89e9-847a31928423
#N/A,2022,224398,2022.93.1,Winter Evening,1893/1894,etching with monotype wiping (more heavily inked version),"plate: 14.7 × 24.6 cm (5 13/16 × 9 11/16 in.)
sheet: 17.8 × 29 cm (7 × 11 7/16 in.)",lower left in graphite: Sera d'inverno,,Vittore Grubicy,"Private collection, Milan; (Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased 2022 by NGA.",Gift of Funds from the Estate of Lila Oliver Asher,Print,,https://api.nga.gov/iiif/dfc85c58-d544-4c6a-b8f0-351d43a91f3f/full/full/0/default.jpg,dfc85c58-d544-4c6a-b8f0-351d43a91f3f,dfc85c58-d544-4c6a-b8f0-351d43a91f3f
#N/A,2022,224397,2022.92.1,Rest on the Flight into Egypt,c. 1660,etching on laid paper,"plate: 16.8 × 17.9 cm (6 5/8 × 7 1/16 in.)
sheet: 17.2 × 18 cm (6 3/4 × 7 1/16 in.)",lower rgith in plate: Siranus In.,"Agostino Caironi [1820–1907], Milan (Lugt 1421)",Elisabetta Sirani,"Agostino Caironi [1820–1907], Milan (Lugt 1421); private collection, Modena, by descent;(Il Bulino Antiche Stampe di Matteo Crespi, Milan); purchased 2022 by NGA.",Ailsa Mellon Bruce Fund,Print,,https://api.nga.gov/iiif/d16921b4-e5ea-42b6-9365-fd20d7f675c0/full/full/0/default.jpg,d16921b4-e5ea-42b6-9365-fd20d7f675c0,d16921b4-e5ea-42b6-9365-fd20d7f675c0
#N/A,2022,224427,2022.91.1,"Figures Deciphering an Inscription, with Two Women Seated [Study for Oeuvres de Bossuet, IV]",c. 1736,"black chalk on laid paper, laid down on album sheet","sheet: 12.7 × 21.59 cm (5 × 8 1/2 in.)
mount: 17.5 × 25.6 cm (6 7/8 × 10 1/16 in.)","by later hand, lower left of mount in graphite: 31,5 x 8,5",,Giovanni Battista Piazzetta,"Private collection, Milan; (Cortona Fine Art, Milan); purchased 2021. by NGA.",Joseph F. McCrindle Endowment Fund,Drawing,,https://api.nga.gov/iiif/22e9eb55-963b-4c1f-ac2b-ed2872d1ccfb/full/full/0/default.jpg,22e9eb55-963b-4c1f-ac2b-ed2872d1ccfb,22e9eb55-963b-4c1f-ac2b-ed2872d1ccfb
Street,2022,224232,2022.90.1,"Handsworth Riots: Birmingham, United Kingdom","September 1985, printed 2021",gelatin silver print,"image: 36.5 × 51.7 cm (14 3/8 × 20 3/8 in.)
sheet: 41.6 × 57.4 cm (16 3/8 × 22 5/8 in.)","on verso, signed by artist, lower left in graphite: 2/30 Handsworth Riots, Birmingham UK 1985 Pogus Caesar",,Pogus Caesar,"Pogus Caesar, UK; NGA purchase, 2022.",Alfred H. Moses and Fern M. Schad Fund,Photograph,,https://api.nga.gov/iiif/32bcc757-19e5-466a-afe9-dfe8ce3615c6/full/full/0/default.jpg,32bcc757-19e5-466a-afe9-dfe8ce3615c6,32bcc757-19e5-466a-afe9-dfe8ce3615c6
#N/A,2022,224212,2022.9.1,Beer Garden,2012 - 2017,"etching, aquatint, and drypoint, printed chine collé on wove on Hahnemühle paper","image: 101.4 × 121.6 cm (39 15/16 × 47 7/8 in.)
sheet: 112.8 × 131.7 cm (44 7/16 × 51 7/8 in.)","""Nicole Eisenman 12-17"" lower right margin, graphite, artist's hand. ""3/15"" lower left margin, graphite, artist's hand.",,Nicole Eisenman,"Harlan and Weaver, Inc., New York; purchased by NGA, 2022.",Ailsa Mellon Bruce Fund,Print,,https://api.nga.gov/iiif/1b9fe34f-e2a3-462c-841f-b75efd316efc/full/full/0/default.jpg,1b9fe34f-e2a3-462c-841f-b75efd316efc,1b9fe34f-e2a3-462c-841f-b75efd316efc
Tools,2022,224793,2022.89.2,"Young Man, China",1978,gelatin silver print,"image: 35.3 × 23.5 cm (13 7/8 × 9 1/4 in.)
sheet: 35.3 × 27.9 cm (13 7/8 × 11 in.)","on verso, signed by artist, center in graphite: Inge Morath; bottom right inverted: 78-12- 32/8",,Inge Morath,"(sale, Swann Auction Galleries, New York, 10 February 2022, lot 164); (Deborah Bell Photographs, New York); NGA purchase, 2022.",Pepita Milmore Memorial Fund,Photograph,,https://api.nga.gov/iiif/09df9368-d687-4bd8-b0d9-20a02edeb20d/full/full/0/default.jpg,09df9368-d687-4bd8-b0d9-20a02edeb20d,09df9368-d687-4bd8-b0d9-20a02edeb20d
